Tender Title,Tender Posted On,Closing On,Description,Ministry/Agency,Location,PDF Link,More Information
Government of Saint Vincent and the Grenadines - Procurement of Greenhouses and Accompanying Accessories (including installation),07-28-2023,,"Bids must be delivered to the address below on or before 13:00 hours (1:00 p.m. SVG time) on September 18, 2023. Electronic Bidding will be permitted. Late Bids will be rejected. Bids will be publicly opened in the presence of the Bidders’ designated representatives and anyone who chooses to attend at the address below on Monday, September 18, 2023, at 13:30 hours (1:30 p.m. SVG time).
All Bids must be accompanied by a Bid Securing Declaration.
Attention is drawn to the Procurement Regulations requiring the Borrower to disclose information on the successful bidder’s beneficial ownership, as part of the Contract Award Notice, using the Beneficial Ownership Disclosure Form as included in the bidding document.
The address(es) referred to above is (are): 
Address to obtain further information and to request bidding documents in accordance with paragraphs 4 and 5:
Attn:    Recardo Frederick
            Director
            Economic Planning Division
            Ministry of Finance, Economic Planning and Information Technology
            1st Floor, Administrative Centre
            Bay Street
             Kingstown
             St. Vincent and the Grenadines
             Tel: 784-457-1746
Email: cenplan@svgcpd.com,  edfpmcu@svgcpd.com, rjohn@svgcpd.com,  ctoby@svgcpd.com, nstewart@svgcpd.com, ssamuel@svgcpd.com
Address to submit Bid documents in accordance with paragraph 6 above:
Attn:    The Chairman
            Central Procurement Board
            Ministry of Finance
            Second Floor, Administrative Building,
            Bay Street
            Kingstown
For Electronic Submission:
procurement@gov.vc,  office.finance@gov.vc",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
Government of Saint Vincent and the Grenadines - Purchase of Two (2) Refrigerated Trucks,07-28-2023,,"Interested eligible Bidders may obtain further information from the Economic Planning Division in the Ministry of Finance, Economic Planning and Information Technology, and inspect the bidding document during office hours 09:00 to 16:00 hours (9:00 a.m. to 4:00 p.m. SVG time) at the address given below.
The bidding document in English may be requested by interested Bidders upon the submission of a written application (by email, fax, or hand-delivered) to the address below. The document will be sent via email to the interested Bidders
Bids must be delivered to the address below on or before 14:00 hours (2:00 p.m. SVG time) on September 8 ,2023. Electronic Bidding will be permitted. Late Bids will be rejected. Bids will be publicly opened in the presence of the Bidders’ designated representatives and anyone who chooses to attend at the address below on Friday, September 8, 2023, at 14:30 hours (2:30 p.m. SVG time).
All Bids must be accompanied by a Bid Securing Declaration
Attention is drawn to the Procurement Regulations requiring the Borrower to disclose information on the successful bidder’s beneficial ownership, as part of the Contract Award Notice, using the Beneficial Ownership Disclosure Form as included in the bidding document.
The address(es) referred to above is (are):
Address to obtain further information and to request bidding documents in accordance with paragraph 4 and 5:
Attn:    Recardo Frederick
            Director
            Economic Planning Division
            Ministry of Finance, Economic Planning and Information Technology
            1st Floor, Administrative Centre,
            Bay Street
            Kingstown
            St. Vincent and the Grenadines
            Tel: 784-457-1746
Email: cenplan@svgcpd.com,  edfpmcu@svgcpd.com, rjohn@svgcpd.com,  ctoby@svgcpd.com, nstewart@svgcpd.com, ssamuel@svgcpd.com
Address to submit Bid documents in accordance with paragraph 6 above:
Attn:    The Chairman
            Central Procurement Board
            Ministry of Finance
            Second Floor, Administrative Building,
            Bay Street
            Kingstown
  For Electronic Submission:
procurement@gov.vc,  office.finance@gov.vc",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
Government of Saint Vincent and the Grenadines - Procurement of Goods for the Upgrade of Landfills,08-14-2023,,"bidders upon the submission of a written application (by email scstewart@svgcpd.com, ojackson@svgcpd.com, cenplan@svgcpd.com, e_dacon@hotmail.com) The document will be sent via email to the interested Bidders if requested. Bids must be delivered to the address below on or before September 22, 2023, at 1300 hours. (Local Time). Electronic bidding will NOT be permitted. Late bids will be rejected. Bids will be publicly opened in the presence of the bidders’ designated representatives and anyone who chooses to attend at the address below on September 22, 2023, at 1400 hours (Local Time).
All bids must be accompanied by a Bid Security of Lot 1: USD 5,000.00, Lot 2: USD 3,500.00, Lot 3: USD 9,400.00. Bid Security is required for each lot as per amounts indicated against each lot. Bidders have the option of submitting one Bid Security for all lots (for the combined total amount of all lots) for which Bids have been submitted, however, if the amount of Bid Security is less than the total required amount, the Purchaser will determine for which lot or lots the Bid Security amount shall be applied. Address for Further Information and to request bidding documents: Attn: Recardo Frederick Director Economic Planning Division Ministry of Finance, Economic Planning and Information Technology Bay Street, Kingstown 1st Floor, Administrative Centre Kingstown St. Vincent and the Grenadines Tel: 784-457-1746 E-mails: cenplan@svgcpd.com, ojackson@svgcpd.com, scstewart@svgcpd.com and e_dacon@hotmail.com Address to submit Bid documents: Attn: Chairman Central Procurement Board Ministry of Finance, Economic Planning and Information Technology Bay Street, Kingstown 2 nd Floor Administrative Centre Kingstown Saint Vincent and the Grenadine",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
"11th EDF RIGHT Programme: Publication of Invitation to tender for Supply of Kiosk Machines for Grenada, Montserrat, and Saint Lucia_OECS/RIGHT/2023/SUP_07",08-14-2023,,"IV.2.2) Time limit for submission of tenders or requests to participate
Date: 9th October 2023
Local Time 3:00 p.m.",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
OECS General Procurement Notice - Caribbean Efficient and Green-Energy Buildings Project Preparation Grant,08-14-2023,,"Procurement of contracts financed by the World Bank will be conducted through the procedures as specified in the World Bank’s Procurement Regulations for IPF Borrowers (July 2016, revised on November 2017, August 2018 and November 2020) (Procurement Regulations), and is open to all eligible firms and individuals as defined in the Procurement Regulations. The World Bank shall arrange the publication on its external website of the agreed initial procurement plan and all subsequent updates once it has provided a no objection.
Specific procurement notices for contracts subject to open international competitive procurement will be announced, as they become available, in UN Development Business online, on the World Bank’s external website, www.oecs.int, Government of Grenada: https://www.gov.gd/, Government of Saint Lucia: https://www.govt.lc/ and Ministry of Public Service, Guyana: https://mps.gov.gy/.
Interested eligible firms and individuals who would wish to be considered for the provision of consulting services for the above-mentioned Grant, or those requiring additional information, should contact the Recipient at the address below:
Ms. Roselyne Opel
Head of Pooled Procurement Services
Pooled Procurement Services
Morne Fortune
P.O. Box 179
Castries,
St. Lucia
1-758-455-6353
roselyne.opel@oecs.int
www.oecs.int",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
Government of Saint Lucia - Mid-Term Review of the UNEP/GEF-6 project- Integrated Ecosystem Management and Restoration of The Forests of the South East Coast,09-01-2023,,"Deadline: Saint Lucia
Interested persons are invited to apply for this opportunity. Please email the Chairperson of the Department Public Procurement Committee at sustainable.devt@govt.lc the following:
Submit the following:
1) Cover Letter 
2) Curriculum Vitae
3) Technical Proposals on how the objectives outlined are to be achieved
4) A work plan showing the timeline for expected deliverables 
5) Writing sample (copy of a published report authored by the applicant)
6) Financial Proposal
7) Contact information for three (3) references 
Please use the e-mail subject line: ""Application for Mid-Term Review of the UNEP/GEF-6 Integrated Ecosystem Management and Restoration of Forests in the South East Coast""",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
READY 360° programme - Guadeloupe : Diagnosis of nature-based solutions in the Caribbean region,09-04-2023,,"We invite companies and individuals interested in bidding to download the Terms of Reference at this We Transfer link, or request them by mail at the addresses below:
Offers must be sent by e-mail no later than 10/09/2023 with imperatively the following subject line:  » PF267 0115 Diagnostic SBN  » to the following e-mail addresses:
luciatrinidad.aliaga@croix-rouge.fr 
cc : melanie.peningue@croix-rouge.fr & log-pirac.frc@croix-rouge.fr",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
READY 360° programme - Guadeloupe : Diagnosis of the role of disability and measures to protect people with disabilities from natural hazards,09-04-2023,,"We invite companies and individuals interested in bidding to download the Terms of Reference at this We Transfer  link, or request them by mail at the addresses below:
Offers must be sent by e-mail no later than 10/09/2023 with imperatively the following subject line:  » PF267 0113 Diagnostic PSH  » to the following e-mail addresses:
luciatrinidad.aliaga@croix-rouge.fr 
cc : melanie.peningue@croix-rouge.fr &  log-pirac.frc@croix-rouge.fr",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
Antigua and Barbuda Department of Environment - Technical Officer – Project Management Unit of the DOE,09-06-2023,,"Job Title
Technical Officer – Project Management Unit of the DOE
Contracting Authority
Department of Environment, Ministry of Health and the Environment, Antigua and Barbuda
Date of Issue
Aug 28th 2023
Deadline
Sept 25th 2023
Duration
12 months  with possibility for Extension
To Apply
Individual consultants and/or firms are invited to apply for this opportunity. The following documents (listed below) must be submitted to this link:  https://app.smartsheet.com/b/form/c90d1aa1970649598be71b24a7736434
1.       Cover letter
2.       CV
3.       Contact information for three (3) references;
4.       Passport information page;
Where applicable, please use the subject line: “…Application for Name of RFP…”
Please send any clarification questions to this link:
https://app.smartsheet.com/b/form/6488c47987d742e6981cd6701b5724ea
EQUAL EMPLOYMENT OPPORTUNITY (EEO)
  The Department of Environment (DoE) provides equal opportunity and fair and equitable treatment in employment to all people without regard to race, color, religion, sex, national origin, age, disability, political affiliation, marital status, or sexual orientation. The DoE also strives to achieve equal employment opportunity in all personnel operations through continuing diversity enhancement programs. 
Prohibited Practices 
The DOE has a zero-tolerance Policy for Prohibited Practices, which means: 
·         The DOE will review 100% of any complaints received for these practices 
·         The complaint will then be submitted to an external independent contractor for further investigation 
·         The DOE shall report all prohibited practice complaints to the GCF 
·         If the investigator finds that there is a breach of the Prohibited Practice Policy by the contractor, the contract will be terminated 
These Prohibited Practices include:   
·         Abuse; 
·         ""Coercion"" or Coercive practice; 
·         ""Collusion"" or Collusive practice; 
·         ""Corruption"" or Corrupt practice; 
·         Financing of Terrorism or Terrorist Financing 
·         ""Fraud"" or Fraudulent practice; 
·         Money Laundering; 
·         Obstructive practice; and 
·         Retaliation against Whistleblowers or Witnesses. 
If the Contractor and/or staff of the Accredited Entity-Department of the Environment (DOE), the Development Control Authority (DCA), the Ministry of Works or the MOF-PMU violates any of the above in the process of executing this contract the contractor may report directly to the GCF at the following website:   
https://iiu.greenclimate.fund/reporting-fraud/how-to-report   
Or to the DOE complaint mechanism at:     
https://www.environment.gov.ag/contact 
Your complaint and its information will be sent to the Integrity Commission and then processed at the DOE. Complainants can be kept confidential, but the accusations will be communicated to the relevant persons. Before any actions are taken, the DOE will assess the accuracy of the information provided. Complainants must note that there is a penalty under the laws of Antigua and Barbuda for providing false information. Noted further that once the investigation is completed the DOE is legally obligated with a duty to report to the GCF. 
Background Checks Information
The DOE is, therefore, asking that all applicants who are shortlisted be prepared to provide information to allow the DOE to better communicate to our partners at the Green Climate Fund, our contractors and service providers.  Information needed includes, but is not limited to, company registration, police record, certificate of good standing with the Inland Revenue Department, registration numbers for Social Security, Medical Benefit Scheme, and Board of Education.  Applicants are encouraged to be in good standing with these organizations.  Please note that if the police record indicates that the individual/company has violated any laws this does not necessarily disqualify the individual/company from winning the bid.   Where references are requested at least one of these must come from an immediate past client/employer.   In addition to this, the contract will be subject to further background check if required.  If this is required, the successful individual/company will be notified accordingly.
The DOE will also be conducting checks to determine if the bidder has been placed on relevant international sanctions lists, or “blacklisted” by the Caricom Climate Change Center (5Cs), if so, the bidder will not be considered.
Data Ownership and Confidentiality
The data, information, output, or material that are collected and/or developed under, or in connection to, the execution of funded activities and this AGREEMENT is property of the Government of Antigua and Barbuda. The Government of Antigua and Barbuda shall retain ownership to the aforementioned property including its title, interest, copyright, and other intellectual property rights.
Privileges and Immunity Notification
The GCF, its proceeds, and other assets are accorded certain status, privileges, immunities, and exemptions as are necessary for the fulfilment of its purposes and carrying out the functions entrusted to it in the territory of Antigua and Barbuda, and that its staff and experts similarly enjoy such privileges, immunities, and exemptions as are necessary for the independent exercise of their official functions in connection with the GCF, in accordance with the Privileges and Immunities Agreement between the GCF and the Government of Antigua and Barbuda dated 20th July 2016.   
The Government of Antigua and Barbuda is, therefore, undertaken to be responsible for the management and remedy for any legal judgement against a project, or in its capacity as an Accredited Entity (AE) or an Executing Entity (EE).
Rights Of Acceptance
The Department of Environment reserves the right to accept or reject any proposal, to render any or all of the proposals as non-responsive and to reject all proposals at any time prior to the award of contract, without incurring any liability, or obligation to inform the affected bidder(s) of the grounds for the Department of Environment’s action. The Department of Environment shall not be obliged to award the contract with the lowest priced offer. The decision of the Department of Environment in this regard is final and binding.
Conflict Of Interest Requirements
The individual/company receiving the contract award must sign a conflict-of-interest declaration and cannot sub-contract or pay staff members of the Department of Environment to complete the assigned tasks outlined within this TOR.
Late Bids
Late Bids will not be accepted.",,,,https://www.oecs.org/en/work-with-us/procurements/current-tenders
NOTICE OF CONTRACT AWARD MINISTRY OF FINANCE,14 Jul 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/07/NOTICE-OF-CONTRACT-AWARD-MINISTRY-OF-FINANCE.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply and Delivery of Mechanical Equipment to the Princes Town Regional Corporation, Ministry of Rural Development and Local Government",20 Apr 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/04/Tender-Notice-Supply-and-Delivery-of-Mechanical-Equipment-to-the-Princes-Town-Regional-Corporation.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Hire of a Closed Cab D6 or Equivalent High Track Tractor with an Operator at the Guapo Landfill Site for the Point Fortin Borough Corporation, Ministry of Rural Development and Local Government for a period of one (1) year",17 Apr 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/04/Tender-Notice-Hire-of-a-Closed-Cab-D6-or-Equivalent-High-Track-Tractor-with-an-Operator-at-the-Guapo-Landfill-Site-for-the-Point-Fortin-Borough-Corporation.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply and Delivery of One (1) Hydraulic Excavator for the San Fernando City Corporation, Ministry of Rural Development and Local Government",17 Apr 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/04/Tender-Notice-Supply-and-Delivery-of-One-1-Hydraulic-Excavator-for-the-San-Fernando-City-Corporation.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
Consultants Appointed the Central Tenders Board for the Month of March 2023,13 Apr 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/04/Consultants-Appointed-for-the-Month-of-March-2023.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
Contracts Awarded by the Central Tenders Board for the Month of March 2023,13 Apr 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/04/Contracts-Awarded-for-the-Month-of-March-2023.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Supply and Delivery of Vehicles/Mechanical Equipment to the Trinidad and Tobago Fire Service, Ministry of National Security",12 Apr 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/04/Tender-Notice-Supply-and-Delivery-of-Vehicles-Mechanical-Equipment-to-the-Trinidad-and-Tobago-Fire-Service.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Notice – Construction of a Box Culvert and Five (5) Reinforced Concrete Wing Walls at a Road off Gooljar Trace, Penal for the Penal/Debe Regional Corporation, Ministry of Rural Development and Local Government",24 Mar 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/03/Tender-Notice-Construction-of-a-Box-Culvert-and-Five-5-Reinforced-Concrete-Wing-Walls-at-a-Road-off-Gooljar-Trace.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
"Tender Extension Notice – Supply and Delivery of Mechanical Equipment to the San Juan/Laventille Regional Corporation, Ministry of Rural Development and Local Government",22 Mar 2023,,,,,https://www.finance.gov.tt/wp-content/uploads/2023/03/EXTENSION-NOTICE.pdf,https://www.finance.gov.tt/divisions/central-tenders-board/tenders-notices/
